Facility Name,Facility ID,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Meets criteria for meaningful use of EHRs,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison
Pennsylvania Memorial Hospital,PA00109,1362 Lincoln Ave,Pittsburgh,PA,64982,Pittsburgh County,(378) 343-4656,Psychiatric Hospital,Government - State,Yes,Not Available,Yes,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
Regional Jose Community Hospital,PA00110,9273 Third St,Bethlehem,PA,35064,Bethlehem County,(702) 419-5865,Psychiatric Hospital,Voluntary non-profit - Other,Yes,3,Yes,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Bethlehem Regional Medical Center,PA00111,4309 First Ave,Bethlehem,PA,22204,Bethlehem County,(742) 320-1853,Psychiatric Hospital,Voluntary non-profit - Other,Yes,3,Yes,Same as the national average,Below the national average,Above the national average,Above the national average,Above the national average,Above the national average
Mount Anthony Health System,PA00112,9735 Washington Ave,Harrisburg,PA,97780,Harrisburg County,(217) 272-4601,Psychiatric Hospital,Proprietary,No,3,Yes,Above the national average,Above the national average,Below the national average,Below the national average,Above the national average,Above the national average
Pennsylvania Medical Center,PA00113,6096 Main Ave,York,PA,89993,York County,(329) 566-4975,Rehabilitation Hospital,Voluntary non-profit - Private,No,1,Yes,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
Allentown General Hospital,PA00114,5938 Church Ave,Allentown,PA,15991,Allentown County,(468) 873-9782,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,4,Yes,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Pittsburgh Health System,PA00115,3005 College St,Pittsburgh,PA,93193,Pittsburgh County,(424) 629-3714,Critical Access Hospital,Government - State,Yes,3,Yes,Below the national average,Same as the national average,Above the national average,Above the national average,Below the national average,Above the national average
Scranton Healthcare,PA00116,5886 Park Ave,Scranton,PA,30858,Scranton County,(385) 857-3490,Psychiatric Hospital,Government - State,Yes,4,Yes,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average
Pennsylvania Memorial Hospital,PA00117,9107 Oak Ave,Scranton,PA,99656,Scranton County,(655) 320-1421,Critical Access Hospital,Voluntary non-profit - Other,Yes,4,No,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
Erie Hospital,PA00118,2643 First Dr,Erie,PA,62290,Erie County,(248) 729-3819,Long-Term Care Hospital,Government - Federal,Yes,3,No,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average,Above the national average
Pennsylvania Veterans Hospital,PA00119,7572 Church Way,Reading,PA,51573,Reading County,(864) 205-4889,Children's Hospital,Voluntary non-profit - Other,Yes,5,Yes,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Above the national average
Lancaster City Hospital,PA00120,5549 Oak Way,Lancaster,PA,52182,Lancaster County,(603) 310-1663,Long-Term Care Hospital,Government - Local,Yes,5,Yes,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Scranton Health Center,PA00121,3482 Maple Ave,Scranton,PA,75427,Scranton County,(803) 645-4618,Children's Hospital,Government - State,Yes,4,Yes,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Below the national average
Harrisburg Regional Medical Center,PA00122,9116 Lincoln St,Harrisburg,PA,20353,Harrisburg County,(945) 540-8191,Children's Hospital,Government - Federal,Yes,1,Yes,Below the national average,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average
Memorial Betty Veterans Hospital,PA00123,710 Broadway Blvd,Allentown,PA,75641,Allentown County,(586) 341-6719,Long-Term Care Hospital,Voluntary non-profit - Other,Yes,5,No,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average
Mount Linda Health Center,PA00124,8932 Oak Dr,Bethlehem,PA,77824,Bethlehem County,(504) 488-9743,Long-Term Care Hospital,Government - Federal,Yes,3,No,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average,Above the national average
Pennsylvania Regional Medical Center,PA00125,7033 Market Way,Philadelphia,PA,15093,Philadelphia County,(893) 240-9254,Long-Term Care Hospital,Government - Federal,Yes,4,Yes,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Below the national average
Pennsylvania Health System,PA00126,929 Healthcare Dr,Bethlehem,PA,74245,Bethlehem County,(720) 449-2979,Psychiatric Hospital,Government - State,No,3,Yes,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average
Philadelphia Health System,PA00127,4508 Oak Way,Philadelphia,PA,22955,Philadelphia County,(308) 287-3960,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,1,Yes,Same as the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average
Pennsylvania University Hospital,PA00128,6662 Center Dr,Harrisburg,PA,80532,Harrisburg County,(712) 489-8161,Psychiatric Hospital,Government - Local,Yes,5,No,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
Mount Donald Children's Hospital,PA00129,5921 Lincoln Dr,Pittsburgh,PA,32154,Pittsburgh County,(700) 915-7957,Critical Access Hospital,Government - State,Yes,3,No,Below the national average,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average
Mount Robert Hospital,PA00130,8599 Second Way,Pittsburgh,PA,52882,Pittsburgh County,(485) 443-5596,Critical Access Hospital,Government - Federal,Yes,2,No,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average
Pennsylvania County Hospital,PA00131,7824 Park Ave,York,PA,33951,York County,(721) 765-5344,Psychiatric Hospital,Voluntary non-profit - Church,No,3,Yes,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Above the national average
Pennsylvania Memorial Hospital,PA00132,8039 University Blvd,Erie,PA,16088,Erie County,(275) 343-8558,Long-Term Care Hospital,Government - Federal,No,5,No,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Above the national average
Pennsylvania City Hospital,PA00133,4276 University Dr,York,PA,32554,York County,(518) 292-3941,Rehabilitation Hospital,Voluntary non-profit - Private,Yes,4,No,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
